PERMNO,date,Mkt-RF,SMB,HML,RMW,CMA,R_ME,R_IA,R_ROE,R_EG,AggLiq,eq8,LIQ_V,Mkt-RF_l0,Mkt-RF_l1,Mkt-RF_l2,Mkt-RF_l3,Mkt-RF_l4,Mkt-RF_l5,Mkt-RF_l6,SMB_l0,SMB_l1,SMB_l2,SMB_l3,SMB_l4,SMB_l5,SMB_l6,HML_l0,HML_l1,HML_l2,HML_l3,HML_l4,HML_l5,HML_l6,RMW_l0,RMW_l1,RMW_l2,RMW_l3,RMW_l4,RMW_l5,RMW_l6,CMA_l0,CMA_l1,CMA_l2,CMA_l3,CMA_l4,CMA_l5,CMA_l6,R_ME_l0,R_ME_l1,R_ME_l2,R_ME_l3,R_ME_l4,R_ME_l5,R_ME_l6,R_IA_l0,R_IA_l1,R_IA_l2,R_IA_l3,R_IA_l4,R_IA_l5,R_IA_l6,R_ROE_l0,R_ROE_l1,R_ROE_l2,R_ROE_l3,R_ROE_l4,R_ROE_l5,R_ROE_l6,R_EG_l0,R_EG_l1,R_EG_l2,R_EG_l3,R_EG_l4,R_EG_l5,R_EG_l6,AggLiq_l0,AggLiq_l1,AggLiq_l2,AggLiq_l3,AggLiq_l4,AggLiq_l5,AggLiq_l6,eq8_l0,eq8_l1,eq8_l2,eq8_l3,eq8_l4,eq8_l5,eq8_l6,LIQ_V_l0,LIQ_V_l1,LIQ_V_l2,LIQ_V_l3,LIQ_V_l4,LIQ_V_l5,LIQ_V_l6
17478,1/1/2005,0.003088595,-0.000858986,0,-0.00013126,0,-0.000281478,0,0,-0.002300262,0,0,0,3.82E-08,0.002522948,0.002030715,-0.002998829,0.001579908,-6.13E-07,0,-0.000398378,0,-0.000485387,0,0,0,0,0,0.003974029,0,0,0.000797496,0,0,-8.30E-05,0.002746407,0,-0.000117602,0,-0.001639621,0,0,-0.002111227,0,0,0,0,0,-0.000438635,0,0,0,0,0.000122734,0,0,0,-0.000257717,0,0,0,0.003205086,0,0,0,0,0,0,-0.000659701,-0.002683601,0,0,0,0,0.003410529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17750,1/1/2005,0.001178577,-0.000725482,0.006867634,0.001197289,0.000192963,-0.001349243,0,0,0,0,0,0,0.003041793,0.000381809,0.001171466,0.00068546,0,0,0.000780631,0,0,0,0,0,0,0,0.000899267,0,-0.001712969,0.000731642,-0.001485682,0,0,0.001631006,0,0,0,-0.000266303,0,-7.68E-05,0.000283737,0,0,0.000574035,0,0,0,-0.000420162,0,0.000198665,0,0,0,0,0,0,0,0,-0.000172864,0,0,0,-0.000623498,0,0,-0.002653039,-0.000692782,-0.000823471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17778,1/1/2005,0.002436526,0,0.001669782,0,0,0,0,0.001581733,0,0,0,0,0.001718293,0.00153826,0,-0.001638428,0,0.000440686,0.002704819,0,-0.000272359,0,0,0,-0.000192719,0,0,0,0,-0.000234933,0,0,0,0,0,7.30E-07,-0.000155491,0,0,0,0,6.00E-05,0,0,0,0,0,0,0,0,0.000629597,0.000229855,0,0,0,0,0.000686851,0,0,0,0,0.002447265,0,0,0,0,0,0,0,0,0,0,0,0,0.001568136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17806,1/1/2005,0.015386301,0.002164737,0.009523361,0.001918835,0,0,0.002414135,0,0,0,0,0,0.005148365,-0.004875972,0,0,0.005847727,-0.007137386,0.000702516,0.001128219,0,0,0,0,0,0,0.000800463,0,0.001404823,-0.005087428,-0.00092012,-0.002252307,0.003165236,0.000465779,0,-0.007959152,0,0,0,0,0,0,0.007539261,0,-0.002184059,-0.00468387,0,0,-0.001324289,0,0,0,0.002403988,0.00141191,0.00119729,0,0,0.000330085,-0.001690666,0,0.000786137,0,0,0,-0.000919591,0.002571801,0.000104308,0.000287216,0,0,-0.002582337,0.005383108,0,0.000735781,-0.006676669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17830,1/1/2005,0.007880829,0,3.76E-05,0.002130642,0,0,0.003643542,-0.00139809,0,0,0,0,0.001492149,0,0,-6.03E-06,-0.000125978,0,0.003318532,0,0,0,0,0,0,-0.001279659,0.000101907,0,0,0,0,0,-0.000439486,0.000819468,-0.000159725,-0.002577288,-0.002071281,0,0,0,0,0,0,0,0,0,-0.000804333,0,0.001979283,0,0.000414281,-0.001410373,0,0,0.000830426,-0.00068532,0.003577903,0,-0.005842894,0,0,-0.000168915,0,0,0.000737521,0,0,0,0,0,0,0.00479113,0,0.009438721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18163,1/1/2005,0.001522875,0,0.00169663,0.001520448,0.000187753,0,0,0,0.000117594,0,0,0,0.001751701,0,0,-0.000121156,-0.000414424,0,0,0,-0.002232792,0,0,0,0,0,0.000161364,-0.000733438,0,-0.001657017,0,0.001826145,-0.000536045,0.002185065,0.000366503,-0.001718685,0,0,0,0,4.97E-05,0,0,0,0,0,0,0,0,0,0.000341272,-0.001828598,0,0.001138935,0,-0.000150793,0.000895444,0,0,0.000482028,0,0,0,0,0,-0.004210628,-0.000801223,0,0.000272055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18542,1/1/2005,0.009881515,0,7.95E-05,0,0,0,0.008127589,0.00034652,0,0,0,0,0.002286502,0,-0.001341726,0,-0.001655952,-0.000696706,-0.002826524,0,0,0,-0.004411266,0,0.000896485,0,0.00010481,0.000121805,0.001102469,0.007462177,0,-0.000822805,0,0,0,-0.00019268,-0.004531938,0,0,0.000207457,0,0,0,0,0,0,0,0,0,-0.00145526,0,0,0,0,0.000222335,0,-0.000200075,0,0,0,-0.006618761,0.001604145,0,-0.000440844,0,0,0.000439713,0,0,0.001391582,0,-0.004926095,0,0.003497445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18729,1/1/2005,0.002159567,-0.001572605,0,0,0,0,0,0.002313321,0,0,0,0,0.001773719,-0.001806124,0.00336877,-0.002025159,0,0,0,-1.81E-05,-0.000339208,-0.002919786,0,0,0.000351398,0,0,0.000453739,-0.002102207,0.001638666,-0.000467045,0.001173261,0,0,0,0,0,-0.000303479,0,0,0,0,0,0,0,0,0.002883252,0,0,0,0,0.000432278,0,-0.00333713,0,0.00134269,0,0,0,0,0,0.001150082,1.93E-05,0.002149555,0,-0.003001439,-0.000636122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19350,1/1/2005,0.009049928,0,2.33E-05,0.002526909,0.00269431,0.004788895,0,0.004249422,-0.001169934,0,0,0,0.004551432,0,0,0.00072886,0,-0.002407894,0.002870644,0,0,0,-0.00241707,0,0.006077376,0,7.31E-05,0,0,0,-0.002162176,0,0,0.000960574,0,-0.000520594,-0.002217031,0,0,0.002244095,0,0,0,0,0,0.00052844,0,0.000852803,0,0,0,0.000301576,0,-0.001422912,0,0,0,0,0.001166751,0,0,0.004550009,0,0.001364013,0,0.002329024,0,0,-0.000798202,0.001675275,0,-0.00070638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19561,1/1/2005,0.008557981,0,0.001484656,0.003970642,0,0,0,0,0,0,0,0,0.003264723,0.004677535,0,0,5.54E-05,0,0.002276638,0,-0.001668089,0,0,-0.003666586,0,-0.00675047,0.000585693,-0.000819053,0,0.000698171,0,-0.001382064,-0.002040845,0.003372448,0,0,0,0,0,-0.003348079,0,0,0,0,-0.001901465,0.002026602,0,0,0,0.004780427,0,0,0.002193233,0,0,0,0,0,0,0,0,0,-0.002291538,0.000128693,0,0,0,0,0,0,-0.002010898,0,0,0.010770889,0.001399832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20220,1/1/2005,0.008995374,0.001939811,0,0.007061304,0,0,-0.002113668,-0.002525583,0,0,0,0,0.002378316,0,0,0.000152488,0,0,0.002769125,0.00014128,0.001391293,-0.003118447,0,0,0,0,0,0.00093361,0,0,-0.002049081,-0.000809104,0,0.005381884,0.000386701,0,0,0,0,0,0,0,0,0,0,0.004090928,0,0,0.000209428,0,-0.003297269,0.002686472,-0.001769702,0.003389279,-1.89E-05,0,0,0,-0.001550999,0,0,-0.002317982,0,0.002229295,-0.003189616,0.001114779,-0.002989268,0,0,0,0,0,0,0.003180391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21178,1/1/2005,0.000669987,0,0,0.006313464,-0.001349711,0.002070916,0,0,0,0,0,0,0,0,0.00298539,-0.001268234,-0.000164908,0,0.000865958,0,-0.000343763,0,0,0,0,0,0,-0.003250057,0,0,0,-5.53E-05,0,0.001403301,-0.001017543,0,0,0,-0.002794849,0,0,0,0,-0.003286726,0,0.004064452,0,0.00078811,0,0.006584573,0.002231536,0,-0.001265724,0,0,0,-0.002718354,0,-0.002349811,0,0,0,0,-0.001741778,0,0.000658261,0,0,0,0,0.012506204,0.000510857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22111,1/1/2005,0.001808064,-0.000192166,0.000447079,0,0,0,0,0.000329464,0.002499831,0,0,0,0.00159853,-0.001320705,0,-0.001373893,0,-0.001090362,0,-0.000324208,0,0,0,0.001522923,0,0,9.60E-05,0,8.61E-05,0,0.002139667,0,0,0,0.003359485,0,-0.000296498,0,0,0,0,0,0,0,0,0,-0.000464767,0,-0.000170169,0,0,0,0,0,0,-0.006124558,0.000106711,-0.004585765,0,0,0,0,0,0.001148364,0,-0.003888223,0,0,0.001183031,0,-0.000897107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
